,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
2157,18-Oct-1998,SOUTH AFRICA,Eastern Cape Province,Glengariff,surfing,30,Unkown,White shark,october,N,M
2158,10-Oct-1998,USA,Florida,"Sebastian Inlet, Indian River County",surfing,27.34582218257508,Unkown,White shark,october,N,M
2159,04-Oct-1998,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",surfing,17,Unkown,White shark,october,N,M
2160,01-Oct-1998,REUNION,Saint-Benoît,Unkown,non representative,27.34582218257508,Unkown,White shark,october,N,M
2161,01-Oct-1998,USA,Florida,"New Smyrna Beach, Volusia County",non representative,28,afternoon,White shark,october,N,M
2162,27-Sep-1998,USA,Florida,"The Rocks, Hutchinson Island, Martin County",surfing,6,Unkown,White shark,September,N,M
2163,22-Sep-1998,USA,Florida,"New Smyrna Beach, Volusia County",surfing,18,Unkown,White shark,September,N,M
2164,Reported 16-Sep-1998,SOUTH AFRICA,Eastern Cape Province,Kowie River,non representative,27.34582218257508,evening,White shark,September,N,M
2165,14-Sep-1998,USA,Florida,"Stuart Beach, Martin County",surfing,28,Unkown,1.8 m [6'] shark,September,N,M
2166,Sep-1998,SENEGAL,Cap Vert Peninsula,Yoff Island,fishing,25,Unkown,1.5 m shark,September,N,M
2167,30-Aug-1998,USA,Florida,"Ponce Inlet, Volusia County",surfing,26,Unkown,3' to 4' shark,August,N,M
2168,27-Aug-1998,ITALY,Marches region,12 miles off Senigallia (Adriatic Sea),non representative,27.34582218257508,Unkown,Invalid,August,N,M
2169,26-Aug-1998,USA,California,"Stinson Beach, Marin County",surfing,16,Unkown,"White shark, 5 m to 6 m [16.5' to 20'] ",August,N,M
2170,Reported      23-Aug-1998,USA,Virginia,Virginia Beach,fishing,27.34582218257508,Unkown,"Dusky shark, 12' ",August,N,M
2171,15-Aug-1998,BAHAMAS,Berry Islands,Ambergris Cay,fishing,28,afternoon,"Caribbean reef shark, 1.2 m to 1.5 m [4' to 5'] ",August,N,M
2172,13-Aug-1998,USA,Florida,"Ponce Inlet, Volusia County",non representative,11,Unkown,4.5' to 5' shark,August,N,M
2173,12-Aug-1998,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",non representative,27.34582218257508,Unkown,"Sandtiger shark, 2 m, male ",August,N,M
2174,01-Aug-1998,SOUTH AFRICA,Western Cape Province,"Buffalo Bay, near Knysna",non representative,19,Unkown,"White shark, 4 m [13'] ",August,N,M
2175,01-Aug-1998,SOUTH AFRICA,Western Cape Province,Pringle Bay,fishing,24,afternoon,"White shark, 4.9 m [16']",August,N,M
2176,26-Jul-1998,BRAZIL,Pernambuco,"Boa Viagem, Recife",surfing,27.34582218257508,evening,White shark,July,N,M
2177,25-Jul-1998,USA,Florida,"New Smyrna Beach, Volusia County",surfing,13,Unkown,White shark,July,N,M
2178,06-Jul-1998,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,fishing,47,Unkown,"Raggedtooth shark, 1.2 m [4'] ",July,N,M
2179,11-Jul-1998,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,16,morning,5' to 6' shark,July,N,M
2180,06-Jul-1998,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,surfing,10,Unkown,"Raggedtooth shark, 1.2 m [4'] ",July,N,M
2181,28-Jun-1998,AUSTRALIA,South Australia,South Neptune Island,diving,26,afternoon,Thought to involve a 5.5 m white shark named Kong,June,F,M
2182,22-Jun-1998,SOUTH AFRICA,Eastern Cape Province,"Gonubie, 13 km northeast of East London",non representative,20,Unkown,White shark,June,F,M
