,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
228,29-Aug-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,37,afternoon,White shark,August,N,M
229,27-Aug-2016,REUNION,Unkown,Boucan Canot,surfing,20,evening,"Bull shark, 3.5 m",August,N,M
230,25-Aug-2016,USA,Florida,"Ponte Vedra, St. Johns County",fishing,49,afternoon,White shark,August,N,M
231,07-Aug-2016,BAHAMAS,New Providence Island,Nassau,non representative,15,Unkown,White shark,August,N,M
232,06-Aug-2016,USA,Hawaii,Maui,non representative,21,afternoon,"Tiger shark, 10' ",August,N,M
233,04-Aug-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,22,Unkown,Blacktip shark,August,N,M
234,29-Jul-2016,SPAIN,Alicante Province,Arenales del Sol,swimming,40,morning,Blue shark,July,N,M
235,28-Jul-2016,CHINA,Hong Kong,Unkown,swimming,72,Unkown,White shark,July,N,M
236,28-Jul-2016,AUSTRALIA,Western Australia,Near Albany,non representative,27.34582218257508,Unkown,White shark,July,N,M
237,27-Jul-2016,USA,Florida,"Florida Keys, Monroe County",non representative,43,Unkown,"Nurse shark, 4'",July,N,M
238,26-Jul-2016,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,18,afternoon,White shark,July,N,M
239,24-Jul-2016,JAPAN,Kochi Prefecture,Irino Beach,surfing,29,Unkown,White shark,July,N,M
240,23-Jul-2016,AUSTRALIA,Tasmania,Clifton Beach,surfing,36,Unkown,White shark,July,N,M
241,23-Jul-2016,BAHAMAS,Abaco Islands,Green Turtle Cay,fishing,27.34582218257508,Unkown,"Bull shark, 6'",July,N,M
242,20-Jul-2016,AUSTRALIA,Queensland,"20 k off The Spit, off the Gold Coast",non representative,31,Unkown,"reef shark, 1m",July,N,M
243,17-Jul-2016,USA,Alabama,8 miles off Mobile,non representative,27.34582218257508,Unkown,"Tiger shark, 10' ",July,N,M
244,16-Jul-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,9,Unkown,White shark,July,N,F
245,16-Jul-2016,USA,Florida,"New Smyrna Beach, Volusia County",non representative,11,morning,White shark,July,N,F
246,15-Jul-2016,USA,California,"Surfside, Orange County",non representative,61,evening,"White shark, 10' to 12'",July,N,M
247,15-Jul-2016,USA,South Carolina,"North Myrtle Beach, Horry County",swimming,27.34582218257508,Unkown,White shark,July,N,M
248,Reported  14-Jul-2016,BAHAMAS,Unkown,Tiger Beach,diving,27.34582218257508,Unkown,"Lemon shark, 9'",July,N,M
249,Reported 08-Jul-2016,SPAIN,Canary Islands,"Las Teresitas, Tenerife",fishing,10,Unkown,Angel shark,July,N,F
250,08-Jul-2016,USA,California,"Capitola, Santa Cruz County",non representative,27.34582218257508,Unkown,White shark,July,N,M
251,07-Jul-2016,USA,Massachusetts,"Off Gloucester, Essec County",non representative,59,morning,dogfish shark,July,N,M
252,07-Jul-2016,USA,California,"Off Palos Verdes peninsula, Los Angeles County",boating,27.34582218257508,Unkown,White shark,July,N,M
253,06-Jul-2016,USA,Florida,"Melbourne Beach, Brevard County",swimming,42,Unkown,White shark,July,N,F
254,04-Jul-2016,AUSTRALIA,Queensland,Palm Cove ,non representative,34,night,Tawny nurse shark,July,N,M
255,27-Jun-2016,USA,South Carolina,Sullivan's Island,non representative,35,Unkown,3' to 4' shark,June,N,M
256,25-Jun-2016,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",surfing,11,Unkown,White shark,June,N,M
257,24-Jun-2016,COLUMBIA,Isla Provedencia,Unkown,diving,59,morning,"Caribbean reef shark, 4.5'",June,N,M
258,23-Jun-2016,SOUTH AFRICA,Western Cape Province,Ryspunt,fishing,43,Unkown,White shark,June,N,M
259,21-Jun-2016,USA,South Carolina,"North Myrtle Beach, Horry County",swimming,42,Unkown,3' to 5' shark,June,N,M
260,21-Jun-2016,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",fishing,27.34582218257508,Unkown,White shark,June,N,M
261,15-Jun-2016,USA,Hawaii,"Kalapaki Beach, Kauai",surfing,27.34582218257508,morning,3' to 4' shark,June,N,M
262,15-Jun-2016,AUSTRALIA,Western Australia,Coral Bay,fishing,19,Unkown,5' shark,June,N,M
263,14-Jun-2016,USA,Texas,"Pirates Beach, Galveston",non representative,6,evening,3' to 4' shark,June,N,F
264,11-Jun-2016,USA,North Carolina,"Atlantic Beach, Emerald Isle, Carteret County",walking,19,afternoon,3' shark,June,N,M
265,07-Jun-2016,USA,South Carolina,"Folly Beach, Charleston County",surfing,27,morning,Said to involve an 8' shark but more likely damage caused by debris,June,N,M
266,05-Jun-2016,USA,Florida,"Flagler Beach, Flagler County",swimming,64,morning,White shark,June,N,M
267,05-Jun-2016,AUSTRALIA,Western Australia,Mindarie,non representative,60,morning,3+ m shark,June,F,F
268,04-Jun-2016,EGYPT,Suez,Ain Sokhna,swimming,23,morning,Mako shark,June,N,M
269,02-Jun-2016,AUSTRALIA,New South Wales,Kingscliff,fishing,27.34582218257508,Unkown,Bronze whaler sharks x 3,June,N,M
270,02-Jun-2016,NEW CALEDONIA,Unkown," Côte-Blanche, Nouméa ",non representative,27.34582218257508,afternoon,3 m shark,June,N,M
271,31-May-2016,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",surfing,29,afternoon,White shark,May,F,M
272,29-May-2016,USA,California,"Corona Del Mar, Newport, Orange County",swimming,52,afternoon,White shark,May,N,F
273,29-May-2016,USA,Florida,"Neptune, Duval County",swimming,13,Unkown,5' shark,May,N,M
274,22-May-2016,USA,Florida,"Vero Beach, Indian River County",swimming,57,afternoon,White shark,May,N,F
275,21-May-2016,USA,Florida,"St. Petersburg, Pinellas County",swimming,22,evening,"Bull shark, 4' to 5'",May,N,F
276,21-May-2016,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",swimming,11,Unkown,White shark,May,N,F
277,18-May-2016,USA,Florida,"Ponte Vedra, St. Johns County",swimming,48,Unkown,"Blacktip shark, 4'",May,N,M
278,15-May-2016,USA,Florida,"Boca Raton, Palm Beach County",non representative,23,Unkown,"Nurse shark, 2'",May,N,F
279,03-May-2016,USA,Hawaii,"Wailea Beach, Maui",swimming,59,Unkown,White shark,May,N,M
280,02-May-2016,NEW ZEALAND,North Island,Cormandel,non representative,39,afternoon,"Mako shark, 1.5 m [5'] ",May,N,M
281,25-Apr-2016,INDONESIA,Bali,Balian,surfing,24,morning,"Bull shark, 6'",April,N,M
282,23-Apr-2016,USA,Florida,"New Smyrna Beach, Volusia County",surfing,15,evening,White shark,April,N,M
283,22-Apr-2016,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",surfing,27.34582218257508,morning,White shark,April,N,M
284,19-Apr-2016,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",swimming,12,afternoon,Wobbegong shark,April,N,M
285,18-Apr-2016,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,fishing,22,morning,"Grey reef shark, 2 m",April,Unkown,M
286,18-Apr-2016,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,fishing,26,morning,"Grey reef shark, 2 m",April,N,M
287,13-Apr-2016,USA,Florida,"Off Singer Island, Palm Beach County",fishing,26,Unkown,"Bull shark, 7'",April,N,M
288,09-Apr-2016,NEW CALEDONIA,Grand Terre,Poe Beach,walking,69,Unkown,"Tiger shark, 2.5 m",April,F,F
289,08-Apr-2016,CAPE VERDE,Boa Vista Island,Unkown,non representative,60,Unkown,Shark involvement not confirmed,April,N,M
290,07-Apr-2016,USA,Florida,"Florida Keys, Monroe County",non representative,34,Unkown,5' to 6' shark,April,N,M
291,07-Apr-2016,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",non representative,27.34582218257508,Unkown,White shark,April,N,M
292,31-Mar-2016,USA,Hawaii,"Olowalu, Maui",non representative,46,morning,White shark,March,N,F
293,30-Mar-2016,AUSTRALIA,New South Wales,Bombo Beach,surfing,22,evening,White shark,March,N,M
294,28-Mar-2016,USA,Florida,"Fort Myers Beach, Lee County",non representative,Teen,Unkown,Shark involvement not confirmed,March,N,M
295,28-Mar-2016,AUSTRALIA,New South Wales,North Cronulla Beach,surfing,41,morning,White shark,March,N,M
296,26-Mar-2016,BAHAMAS,Unkown,Unkown,non representative,9,Unkown,"Nurse shark, 2.5-ft",March,N,M
297,13-Mar-2016,USA,California,"Bolsa Chica State Park, Orange County",surfing,27.34582218257508,morning,Shark involvement not confirmed,March,N,M
298,11-Mar-2016,USA,Florida,"Vero Beach, St. Lucie County",non representative,19,afternoon,White shark,March,N,M
299,10-Mar-2016,Fiji,Vanua Levu,Unkown,non representative,45,afternoon,White shark,March,F,M
300,04-Mar-2016,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",non representative,12,afternoon,White shark,March,N,M
301,Reported 03-Mar-2016,AUSTRALIA,South Australia,Wrights Bay,non representative,27.34582218257508,Unkown,Bronze whaler,March,N,M
302,02-Mar-2016,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,swimming,41,Unkown,Sandtiger shark,March,N,M
303,22-Feb-2016,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",non representative,21,evening,White shark,February,N,M
304, 19-Feb-2016,NEW CALEDONIA,South Province,Yate,fishing,31,afternoon,White shark,February,N,M
305,12-Feb-2016,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",fishing,27.34582218257508,afternoon,White shark,February,N,F
306,Reported 10-Feb-2016,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,non representative,65,Unkown,No shark involvement,February,N,M
307,10-Feb-2016,AUSTRALIA,Tasmania,Nettley Bay,surfing,27.34582218257508,afternoon,No shark involvement,February,N,M
308,05-Feb-2016,AUSTRALIA,Queensland,Stradbroke Island,walking,45,Unkown,White shark,February,N,F
309,04-Feb-2016,AUSTRALIA,New South Wales,Hams Beach,surfing,40,afternoon,White shark,February,N,M
310,02-Feb-2016,BRAZIL,Balneário Camboriú,Estaleirinho beach,swimming,41,Unkown,Sandtiger shark,February,N,M
311,29-Jan-2016,SOUTH AFRICA,KwaZulu-Natal,Unkown,non representative,27.34582218257508,Unkown,White shark,January,N,M
312,28-Jan-2016,USA,Hawaii,"Hanalei Bay, Kauai",surfing,27.34582218257508,afternoon,"Reef shark, 5'",January,N,M
313,25-Jan-2016,USA,Hawaii,"Hanalei Bay, Kauai, ",surfing,15,morning,White shark,January,N,F
314,24-Jan-2016,USA,Texas,Off Surfside,fishing,27.34582218257508,Unkown,Bull sharks x 2,January,N,M
315,24-Jan-2016,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,non representative,27.34582218257508,Unkown,Mako shark,January,N,M
316,23-Jan-2016,USA,Hawaii,"Wailea Beach, Maui",boating,48,morning,"Tiger shark, 14'",January,N,M
317,Reported 11-Jan-2016,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",surfing,27.34582218257508,Unkown,Wobbegong shark,January,N,M
318,05-Jan-2016,AUSTRALIA,Queensland,Heron Island,fishing,11,afternoon,Blacktip shark,January,N,M
319,02-Jan-2016,AUSTRALIA,Queensland,Miall Island,fishing,31,morning,3 m shark,January,N,M
320,26-Dec-2015,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,boating,27.34582218257508,morning,"White shark, 3 m",December,N,M
321,25-Dec-2015,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",swimming,38,Unkown,"Silky shark, 6.5'",December,N,F
322,22-Dec-2015,USA,Hawaii,La'aloa Beach Park,boating,71,morning,9' shark,December,N,M
323,21-Dec-2015,AUSTRALIA,New South Wales,Bondi Beach,surfing,43,morning,"Bronze whaler shark, 6'",December,N,M
324,21-Dec-2015,BRAZIL,Pernambuco,Fernano de Noronha,non representative,32,Unkown,"Tiger shark, 1.5 m ",December,N,M
325,19-Dec-2015,ARUBA,Unkown,Boat capsized,surfing,58,Unkown,White shark,December,F,M
326,13-Dec-2015,AUSTRALIA,New South Wales,Lake Macquarie,non representative,27.34582218257508,morning,"White shark, 3.5 m",December,N,M
327,11-Dec-2015,BAHAMAS,Unkown,Off Andros Island,non representative,26,Unkown,Bull shark,December,N,M
328,08-Dec-2015,SOUTH AFRICA,Eastern Cape Province,Mpande,non representative,22,morning,White shark,December,N,F
329,20-Nov-2015,ECUADOR,Galapagos Islands,"Punta Vicente Roca, Isabella Island",non representative,55,Unkown,Galapagos shark,November,N,M
330,16-Nov-2015,USA,Florida,"Playalinda Beach, Brevard County",surfing,27.34582218257508,afternoon,White shark,November,N,M
331,15-Nov-2015,USA,Florida,"Palm Beach, Palm Beach County",swimming,27.34582218257508,morning,White shark,November,N,F
332,15-Nov-2015,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",surfing,28,Unkown,"Spinner shark, 7'",November,N,M
333,10-Nov-2015,AUSTRALIA,New South Wales,East Ballina,surfing,20,Unkown,"Bull shark, 2.8 to 3.1 m",November,N,M
334,07-Nov-2015,USA,Florida,"Paradise Beach, Melbourne, Brevard County",surfing,9,morning,Shark involvement not confirmed,November,N,F
335,03-Nov-2015,USA,Hawaii,"Kehena Beach, Hawaii",swimming,54,morning,White shark,November,N,M
336,01-Nov-2015,USA,Florida,"Cocoa Beach, Brevard  County",fishing,28,afternoon,3' to 5' shark,November,N,F
337,01-Nov-2015,MOZAMBIQUE,Inhambane Province,Maxixe,non representative,19,night,White shark,November,N,M
338,30-Oct-2015,AUSTRALIA,Western Australia,Bald Island,fishing,50,Unkown,White shark,october,N,M
339,28-Oct-2015,USA,Hawaii,"Malaka, Oahu",non representative,10,Unkown,White shark,october,N,M
340,25-Oct-2015,SOUTH AFRICA,Western Cape Province,Stil Bay,surfing,42,afternoon,"White shark, 3 to 3.5m ",october,N,M
341,21-Oct-2015,USA,Florida,"Playalinda Beach, Brevard County",surfing,21,afternoon,5' shark,october,N,M
342,19-Oct-2015,USA,Florida,"Deerfield Beach, Broward County",surfing,21,Unkown,"Spinner shark, 5'",october,N,M
343,17-Oct-2015,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",non representative,35,Unkown,White shark,october,F,F
344,17-Oct-2015,USA,Hawaii,"Waikiki, ",surfing,32,Unkown,No shark involvement,october,N,M
345,17-Oct-2015,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",swimming,44,morning,"Tiger shark, 7'",october,N,M
346,13-Oct-2015,USA,California,"Off Leffingwell Landing, San Luis Obispo County",boating,27.34582218257508,morning,Hammerhead sp.,october,N,M
347,09-Oct-2015,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",surfing,9,Unkown,White shark,october,N,F
348,09-Oct-2015,USA,Hawaii,"Leftovers, Oahu",surfing,25,Unkown,"Tiger shark, 13' ",october,N,M
349,08-Oct-2015,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",non representative,27.34582218257508,Unkown,White shark,october,N,M
350,07-Oct-2015,AUSTRALIA,Western Australia,Pyramids Beach,surfing,18,Unkown,White shark,october,N,M
351,05-Oct-2015,USA,Florida,"Pepper Park Beach, St. Lucie County",non representative,22,afternoon,White shark,october,N,M
352,05-Oct-2015,USA,Texas,Galveston,fishing,13,morning,4' to 5' shark,october,N,M
353,04-Oct-2015,USA,Florida,"New Smyrna Beach, Volusia County",surfing,14,morning,"Blacktip shark, 4' to 5'",october,N,M
354,29-Sep-2015,USA,Florida,"Vilano Beach, St.  Johns County",surfing,22,Unkown,"Blacktip shark, 5' to 6'",September,N,M
355,26-Sep-2015,AUSTRALIA,Queensland,"Russel Island, Frankland Group",non representative,7,afternoon,White shark,September,N,F
356,24-Sep-2015,USA,California,"Horseshoe Rock, Santa Barbara County",non representative,27.34582218257508,Unkown,"White shark, 19'",September,N,M
357,20-Sep-2015,USA,Florida,"New Smyrna Beach, Volusia County",surfing,14,Unkown,juvenile shark,September,N,M
358,20-Sep-2015,USA,Hawaii,"Upolu Point, North Kohala, Big Island",fishing,27,Unkown,"Tiger shark, 13'",September,N,M
359,20-Sep-2015,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",fishing,12,afternoon,4' shark,September,N,M
360,20-Sep-2015,USA,Florida,"Vilano Beach, St.  Johns County",non representative,16,morning,White shark,September,N,M
361,19-Sep-2015,USA,California,"Gaviota State Beach, Santa Barbara County",boating,27.34582218257508,Unkown,Hammerhead shark,September,N,M
362,18-Sep-2015,USA,Florida,"Big Talbot Island, Duval County",swimming,27.34582218257508,evening,White shark,September,N,M
363,17-Sep-2015,USA,Florida,"Jacksonville Beach, Duval County",surfing,20,afternoon,White shark,September,N,M
364,08-Sep-2015,AUSTRALIA,New South Wales,North Shelly Beach,surfing,42,Unkown,6' shark,September,N,M
365,06-Sep-2015,USA,California,"El Pescador Beach, Los Angeles County",non representative,50,evening,"White shark, 11' to 12'",September,N,F
366,05-Sep-2015,USA,California,"Deer Creek Beach, Ventura County",boating,29,Unkown,Hammerhead shark.,September,N,M
367,04-Sep-2015,AUSTRALIA,New South Wales,Hallidays Point,surfing,62,morning,"White shark, 2.5 m",September,N,M
368,03-Sep-2015,USA,South Carolina,"Myrtle Beach, Horry County",non representative,27.34582218257508,afternoon,4' shark?,September,N,M
369,01-Sep-2015,THAILAND,Phuket,Karon Beach,fishing,37,morning,small shark,September,N,F
370,Sep-2015,FIJI,Unkown,Unkown,fishing,27.34582218257508,Unkown,Tiger shark,September,N,M
371,29-Aug-2015,USA,California,"Morro Strand State Beach, San Luis Obispo County",surfing,54,Unkown,"White shark, 11' to 12'",August,N,F
372,29-Aug-2015,USA,California,"Morro Bay, San Luis Obispo County",surfing,21,morning,"White shark, 10' to 12' ",August,N,M
373,22-Aug-2015,USA,Florida,"Cocoa Beach, Brevard  County",non representative,27.34582218257508,Unkown,Shark involvement not confirmed,August,N,M
374,22-Aug-2015,AUSTRALIA,New South Wales,Lighthouse Beach,surfing,38,Unkown,White shark,August,N,M
375,20-Aug-2015,USA,South Carolina,"Murrells Inlet, Georgetown County",surfing,15,afternoon,4' shark,August,N,M
376,19-Aug-2015,USA,Florida,"Jacksonville Beach, Duval County",walking,10,afternoon,3' shark,August,N,F
377,18-Aug-2015,USA,California,Santa Barbara County,boating,22,morning,"White shark, 13'",August,N,M
378,18-Aug-2015,SPAIN,Alicante,"Poniente Beach, Benidorm",swimming,10,morning,Shark involvement not confirmed,August,N,M
379,10-Aug-2015,USA,California,Cortes Bank,fishing,57,morning,Hammerhead shark. 6' to 7',August,N,M
380,31-Jul-2015,AUSTRALIA,New South Wales,Evans Head,surfing,52,morning,White shark,July,N,M
381,28-Jul-2015,COSTA RICA,Guanacaste,Playa Grande,surfing,47,Unkown,White shark,July,N,M
382,27-Jul-2015,AUSTRALIA,Victoria,Tyrendarra Beach,surfing,40,Unkown,White shark,July,N,M
383,26-Jul-2015,USA,Florida,"Daytona Beach, Volusia County",surfing,25,evening,"Blacktip or spinner shark, 4'",July,N,M
384,26-Jul-2015,USA,South Carolina,"Edisto Beach, Colleton County",swimming,35,Unkown,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",July,N,F
385,25-Jul-2015,AUSTRALIA,Tasmania,"Lachan Island, Mercury Passage",non representative,46,morning,"White shark, 3.9 to 4.2 m",July,F,M
386,23-Jul-2015,USA,California,"La Jolla, San Diego County",boating,31,Unkown,"Mako shark, 100-lb",July,N,M
387,23-Jul-2015,AUSTRALIA,Victoria,Tyrendarra Beach near Portland,surfing,40,Unkown,"Bronze whaler shark, 1.5m",July,N,M
388,22-Jul-2015,REUNION,Unkown,St. Leu,surfing,45,Unkown,"Bull shark, 2m",July,N,M
389,19-Jul-2015,SOUTH AFRICA,Eastern Cape Province,Jeffrey's Bay,surfing,34,Unkown,White shark,July,N,M
390,10-Jul-2015,USA,California,"Huntington Beach, Orange County",surfing,38,Unkown,"White shark, 7'",July,N,M
391,08-Jul-2015,USA,California,"Huntington Beach, Orange County",swimming,39,Unkown,Shark involvement not cofirmed,July,N,M
392,06-Jul-2015,FRENCH POLYNESIA,Bora Bora,Unkown,swimming,27.34582218257508,Unkown,No shark involvement,July,N,M
393,04-Jul-2015,BAHAMAS,Grand Bahama Island,"Port Lucaya, Freeport",fishing,23,Unkown,6' shark,July,N,F
394,04-Jul-2015,USA,North Carolina,"Off Surf City, Pender County",non representative,32,evening,White shark,July,N,M
